id,name,amount,sv_op_timestamp
109652,XLzyy,63.53,2022-03-11 12:59:01
109652,XLzyy,63.53,2023-03-11 12:59:01
47935,xcjqqIQmacBQasYZXgfebxf,0.54,2022-10-06 10:09:33
47935,xcjqqIQmacBQasYZXgfebxf,0.54,2022-10-06 10:09:33
488093,OuymNx,28.22,2021-08-17 07:39:37
488093,OuymNx,28.22,2021-08-17 07:39:37
573652,QoOyNNESdbargqvlkS,31.11,2022-10-27 07:05:19
573652,QoOyNNESdbargqvlkS,31.11,2022-10-27 07:05:19
6411,M,5.77,2022-10-11 09:07:58
6411,M,5.77,2022-10-11 09:07:58
731119,NeCJxfFCoexyi,10.48,2022-12-25 05:37:23
731119,NeCJxfFCoexyi,10.48,2021-12-25 05:37:23
731119,NeCJxfFCoexyi,10.48,2021-12-25 05:37:23
808203,YJTqTuGa,2.46,2021-02-15 00:39:39
808203,YJTqTuGA,2.46,2021-02-15 00:39:39
808203,YJTqTuGL,2.46,2021-02-15 00:39:39
808203,YJTqTuGL,2.46,2021-02-15 00:39:39
820877,ljDwCozbkmali,42.7,2021-05-24 03:14:32
820877,ljDwCozbkmali,42.7,2021-05-24 03:14:32
836239,aQZRH,56.17,2022-04-06 09:48:57
836239,aQZRH,56.17,2022-04-06 09:48:57
